"Disease" "UI" "RCTs_vs_daly_all_fill" "Patients_vs_daly_all_fill" "RCTs_vs_daly_NHI_fill" "Patients_vs_daly_NHI_fill" "RCTs_vs_death_all_fill" "Patients_vs_death_all_fill" "RCTs_vs_death_NHI_fill" "Patients_vs_death_NHI_fill" "RCTs_vs_yld_all_fill" "Patients_vs_yld_all_fill" "RCTs_vs_yld_NHI_fill" "Patients_vs_yld_NHI_fill" "RCTs_vs_yll_all_fill" "Patients_vs_yll_all_fill" "RCTs_vs_yll_NHI_fill" "Patients_vs_yll_NHI_fill" "RCTs_vs_daly_all_nogap" "Patients_vs_daly_all_nogap" "RCTs_vs_daly_NHI_nogap" "Patients_vs_daly_NHI_nogap" "RCTs_vs_death_all_nogap" "Patients_vs_death_all_nogap" "RCTs_vs_death_NHI_nogap" "Patients_vs_death_NHI_nogap" "RCTs_vs_yld_all_nogap" "Patients_vs_yld_all_nogap" "RCTs_vs_yld_NHI_nogap" "Patients_vs_yld_NHI_nogap" "RCTs_vs_yll_all_nogap" "Patients_vs_yll_all_nogap" "RCTs_vs_yll_NHI_nogap" "Patients_vs_yll_NHI_nogap"
"1" "All" "low" 54.692429749159 51.2729197827415 34.241412888542 12.0533726005209 48.4279730150522 44.5796938410539 24.3514617356588 10.9118652209424 46.3279643602239 44.8238751370479 20.4026021983205 16.1059684079247 59.1120168828863 54.0680095305689 39.677576909462 15.3462835038845 18.0862080356205 8.36928569979272 5.60601060986859 0 13.5434188473246 6.57429851082871 2.07539992161693 0 12.8215917373551 9.24030299024797 0 0 21.3497611561347 11.172605835966 39.9090405063933 0
"2" "All" "med" 54.8525363928536 52.624588668318 34.4683101467806 14.2600954183227 48.6099960205097 45.9313627266304 24.5783589938974 13.4229924694218 46.4880710039185 46.1755440226245 20.6623191671383 18.7272158648449 59.2429391986717 55.4196784161454 39.9044741677006 17.7820936136916 18.2142330587804 9.71317909777133 5.74142518799609 0 13.67434116311 7.72563336947282 2.21081449974444 0 12.9525140531405 10.4158207499298 0 0 21.4350290468315 12.4741449853747 47.5676187888873 0
"3" "All" "up" 55.0072763191715 53.9984573062427 34.6929766328224 16.3612803196646 48.7905010055064 47.3052313645551 24.8030254799392 15.8695139171055 46.6434101240819 47.5494126605492 20.9470306516415 21.1427719944086 59.3684458396362 56.7935470540701 40.1291406537424 20.5892570881608 18.3397396997449 11.1825725265831 5.8738600617782 0.924260111696982 13.7998478040746 8.84724175431829 2.34324937352654 0 13.078020694105 11.5613991283748 0 0.0500750831125148 21.5191144237457 13.9045521417126 47.8783029071984 1.26522199814371
"4" "Tuberculosis" "low" 29.2227176524955 39.9148218362036 20.5913945423041 36.5659990097934 33.1455026524905 42.8992924964609 24.0581532889023 39.5905742338812 31.8108768747677 46.7408446396065 21.0884005275047 43.4082013041412 28.9956110017733 39.5233196888661 20.7197225873628 36.1476393068971 4.52807929606322 11.7080953364853 0 9.92976693598726 5.98512479602462 13.0528415272899 0.572291922532543 11.4680851066742 3.17803735195459 12.5355006903869 0 10.8140534547443 4.71653442884881 11.7492503137538 0 9.94781935412905
"5" "Tuberculosis" "med" 34.3590575917002 60.8823882196756 24.387689912305 60.7776769146282 38.3029002435035 63.662214872064 28.0389937829533 63.9086578425097 37.1697482695015 68.8593904629626 26.1650031641236 70.1658984024047 34.1195604435646 59.8317938312232 24.5251818760964 59.559976246919 7.75230722124808 25.0443644071548 2.91219809937119 24.6713689611059 9.21813993314176 26.5918040284836 4.48598239872302 26.4299001620412 6.37942386534938 28.8845266393747 1.84914732314672 29.1990858250288 7.93937801141226 24.6787736656953 3.05559779596376 24.264396909921
"6" "Tuberculosis" "up" 40.8125738268072 66.1787407079228 29.7499596357486 66.4757339175111 44.2875531727427 68.8898066246705 33.7735701022872 69.537639725555 43.5490567205066 75.2673419611289 32.504665891318 76.7765591158143 40.8851759275755 65.058189049285 29.6402394120754 65.1920886451302 11.2726050226932 30.0716785538507 7.01443847078213 30.0866151618824 12.7449944172081 31.5183740172932 8.57895011940813 31.7210922316028 10.0292767970559 34.1561541141387 6.03439858689933 34.8941717676064 11.4623417686025 29.617325663028 7.1578381673747 29.5536090590224
"7" "Hepatitis" "low" 68.9753702811253 61.1443076371801 58.4708849910915 52.2685753261047 64.3632228526797 59.3853662545628 54.4773042309368 49.3419029332916 47.1614585082186 34.5014779232694 26.2487844902509 23.9094115019843 70.4203139225392 62.6096067606244 59.7953611204422 53.7854745012546 29.9422305951081 25.0153274668522 18.793663092923 15.0185956694415 27.620133839576 23.3868330373531 16.7968727128456 13.774235492355 13.1275944916933 10.5772735709873 6.70540149087722 3.65304942734937 30.6647024158151 25.7130708232678 19.4559011575983 15.8227190061159
"8" "Hepatitis" "med" 70.1408714466265 74.220109583771 61.362088104368 70.6982986901072 65.5333258712822 70.3511119002985 57.3685073442132 67.2586812689761 50.0259575687707 46.7975261753159 29.1399876035273 42.5752736525826 71.584674738749 75.4855777468445 62.6865642337186 71.9513725710084 31.1065914113179 34.1460694902481 21.6848662061994 30.8759004186555 28.7844946557858 31.9576919116962 19.688075826122 28.887291931978 14.2977115033945 19.0419438657754 8.45055187806491 15.4805754389928 31.8290632320248 34.8567408557875 22.3471042708747 31.5381384833308
"9" "Hepatitis" "up" 71.2940933859805 76.4362459143697 63.8754701764859 74.6114491311014 66.9995190550432 72.6751520198078 59.8818894163311 71.3869989462308 53.4293552701496 60.5853779556277 31.6533696756452 47.1673641417265 72.739015449684 77.6888785052017 65.1999463058365 75.7903447351969 32.2609321222529 36.0812615370396 24.1982482783173 34.4164259390435 29.9388353667208 34.0620125023294 22.20145789824 32.4402842810008 15.4739393103561 21.3165714300316 9.65164726839725 19.6282925590978 32.9834039429599 36.767291186995 24.8604863429926 35.0786058708605
"10" "Neoplasms" "low" 32.9767243144352 53.0735613311187 3.09993026343097 9.07756118028876 26.5038970229734 46.0035247675121 0.519390266359271 7.32282067739702 11.7079519715704 30.2912532331824 0.0499827627945023 9.15578721008189 33.471511669524 53.5954876252437 3.14959599615125 9.10840550406991 4.10829466783574 15.5293868666998 0 0 0.828135291639029 12.0757917243566 0 0 0 4.89556155302743 0 0 4.34210760072881 15.7792452515777 0 0
