"UI" "Region" "metr" "RCTs_fill" "RCTs_nogap" "Patients_fill" "Patients_nogap"
"1" "low" "All" "daly" 28.2798056872843 7.39431608011785 18.3344341112529 1.68015760202855
"2" "med" "All" "daly" 31.1549180237262 10.0412411970666 22.1518402535685 4.82865565613978
"3" "up" "All" "daly" 33.2256326531882 11.6704055538164 25.4728306549058 9.31394841284039
"4" "low" "All" "death" 40.5930773300225 6.30325363386295 26.4075526557944 0
"5" "med" "All" "death" 43.6108433101135 8.37245280443348 30.2388750595884 4.27036822326639
"6" "up" "All" "death" 46.0679687335591 10.4040785860501 33.7845430558874 7.11462837078949
"7" "low" "All" "yld" 35.1187446212084 5.12750318944354 40.3084267329024 4.25808457538631
"8" "med" "All" "yld" 36.9348610599031 6.77125105632365 43.0633185112444 5.89579755324369
"9" "up" "All" "yld" 38.7268321708588 8.27703775037075 45.8202616838862 7.42269047630691
"10" "low" "All" "yll" 43.4020690189935 13.3365476291393 30.5335060527174 9.5043457502587
"11" "med" "All" "yll" 46.5002864228329 16.0246463155557 34.6383904551773 13.1314531709661
"12" "up" "All" "yll" 48.7652395483417 17.5003819864095 38.2486564598783 16.8792365645304
"13" "low" "Central Europe, Eastern Europe, and Central Asia" "daly" 29.3266345442356 4.56128434555231 20.9271049094748 0.638196386122432
"14" "med" "Central Europe, Eastern Europe, and Central Asia" "daly" 31.6065340936243 6.12773447141174 24.4853982068786 1.18284144172181
"15" "up" "Central Europe, Eastern Europe, and Central Asia" "daly" 33.7825625074985 7.7252879141823 27.9939197351516 2.05083319217552
"16" "low" "Central Europe, Eastern Europe, and Central Asia" "death" 51.6721200194142 18.1250916950126 45.0050497239419 18.1801567367235
"17" "med" "Central Europe, Eastern Europe, and Central Asia" "death" 53.2549393833006 19.6589479748446 48.1616274826682 19.6993460329394
"18" "up" "Central Europe, Eastern Europe, and Central Asia" "death" 54.7743582938087 21.120498367587 51.6092591796267 21.1699563379183
"19" "low" "Central Europe, Eastern Europe, and Central Asia" "yld" 39.709430140055 9.57668967733697 45.2540186082088 9.60967634627344
"20" "med" "Central Europe, Eastern Europe, and Central Asia" "yld" 41.8704927136246 11.1072444195045 48.2375894703344 11.2278151637162
"21" "up" "Central Europe, Eastern Europe, and Central Asia" "yld" 43.993418173096 12.6122447523589 50.9558494164743 13.2325179466616
"22" "low" "Central Europe, Eastern Europe, and Central Asia" "yll" 44.3910033573568 12.6808786439735 37.5762598327527 12.4119076820947
"23" "med" "Central Europe, Eastern Europe, and Central Asia" "yll" 46.8882521036102 14.3756451685756 41.2444475488581 14.3894942394171
"24" "up" "Central Europe, Eastern Europe, and Central Asia" "yll" 49.0940371617743 16.0975941363917 44.8600687301081 16.1204540026418
"25" "low" "High-income" "daly" 17.4032479305763 0 13.2147161239343 0
"26" "med" "High-income" "daly" 19.6627560127123 0 16.1509356924925 0.769862750422246
"27" "up" "High-income" "daly" 21.9648007272918 0.37244681652839 19.107551244611 1.73903547907877
"28" "low" "High-income" "death" 42.4502821240763 5.81221026479409 30.3925710646482 5.53244608636942
"29" "med" "High-income" "death" 44.5059489682083 7.46796004830212 33.3652776746895 7.05915756226592
"30" "up" "High-income" "death" 46.4993383882534 9.15180854641214 36.4558645346359 8.44584077306286
"31" "low" "High-income" "yld" 34.8891485114781 6.35959965793336 39.9626463385844 6.42233559284393
"32" "med" "High-income" "yld" 36.4309483293161 7.64365916595447 42.5785213756096 7.67738761026277
"33" "up" "High-income" "yld" 38.0580262553735 8.92854857898604 45.2615264509655 8.9732389039352
"34" "low" "High-income" "yll" 41.571067822417 5.46230030223993 30.020691435711 0.120389586599994
"35" "med" "High-income" "yll" 43.7587316819137 7.23640764012459 33.0664639291658 2.89022709344167
"36" "up" "High-income" "yll" 45.9042878220657 9.05620824746285 36.1742326107197 5.29093348094744
"37" "low" "Latin America and Caribbean" "daly" 19.0703177484402 0.876484350162354 17.2101605070639 0.863475418067196
"38" "med" "Latin America and Caribbean" "daly" 22.2472863040718 3.31990301914733 22.383741583732 3.78608180763525
"39" "up" "Latin America and Caribbean" "daly" 24.7633231584772 4.65016592976551 26.1658918120291 5.45920051662086
"40" "low" "Latin America and Caribbean" "death" 34.1551996659626 4.28736274018976 32.0083001892379 5.22518672761186
"41" "med" "Latin America and Caribbean" "death" 37.2199991231212 6.24573646011138 37.4891341352377 10.1041358066002
"42" "up" "Latin America and Caribbean" "death" 39.7673382009139 8.1088248181231 40.8748721674527 12.2774609542744
"43" "low" "Latin America and Caribbean" "yld" 34.5431479084145 7.02747240553545 41.8938652622849 7.82073695380715
"44" "med" "Latin America and Caribbean" "yld" 36.7460119257688 8.29848985890284 47.0952439580203 11.5894378741713
"45" "up" "Latin America and Caribbean" "yld" 39.0158250787453 9.39016540598739 51.0151251714608 14.1563299239314
"46" "low" "Latin America and Caribbean" "yll" 35.5774942180758 5.84730512531326 28.3115981107561 5.00071515709885
"47" "med" "Latin America and Caribbean" "yll" 38.7728982967133 8.48967948492309 34.733054192207 11.1144426995239
"48" "up" "Latin America and Caribbean" "yll" 41.3525265306898 10.1767458580918 39.295213609716 13.5813529551028
"49" "low" "Non-HI" "daly" 29.2104234056478 6.74202005545698 18.4906706728893 0.540523726722618
"50" "med" "Non-HI" "daly" 32.1033423584642 9.42942529530243 23.2816228832163 6.00979502244557
"51" "up" "Non-HI" "daly" 34.2877458849826 11.2502171495757 27.5424676461743 9.01553763671368
"52" "low" "Non-HI" "death" 39.812069530341 5.87252743201614 29.4270079203792 0.219808611942594
"53" "med" "Non-HI" "death" 42.9895638573413 8.12990147080703 34.5433474746525 4.67157032616944
"54" "up" "Non-HI" "death" 45.5228256412401 10.2750521464065 39.5213638594074 8.72612591536678
"55" "low" "Non-HI" "yld" 37.2712916438457 6.949439604292 45.3181879522706 5.48622335075878
"56" "med" "Non-HI" "yld" 39.1785396496056 8.62347192573344 49.2622112397114 8.50885958956212
"57" "up" "Non-HI" "yld" 41.0081528165063 10.1225074765645 52.5083532265672 12.846141009217
"58" "low" "Non-HI" "yll" 43.5037144783916 12.7448663980762 24.6974891796321 7.36123417781634
"59" "med" "Non-HI" "yll" 46.5862952518105 15.4141265882762 29.7605548202896 11.4050797137224
"60" "up" "Non-HI" "yll" 49.011172643298 17.0552237923513 35.0974182897983 13.5388801696565
"61" "low" "North Africa and Middle East" "daly" 24.5844760054822 2.99322613721912 20.5226982677233 2.51468338142764
