"Region" "Disease" "burden_daly" "burden_yll" "burden_yld" "burden_death" "Prop_loc_burden_daly" "Prop_loc_burden_yll" "Prop_loc_burden_yld" "Prop_loc_burden_death" "Prop_glob_burden_daly" "Prop_glob_burden_yll" "Prop_glob_burden_yld" "Prop_glob_burden_death" "Prop_NHI_burden_daly" "Prop_NHI_burden_yll" "Prop_NHI_burden_yld" "Prop_NHI_burden_death" "Nb_RCTs_low" "Nb_RCTs_med" "Nb_RCTs_up" "Nb_Patients_low" "Nb_Patients_med" "Nb_Patients_up" "Prop_loc_RCTs_low" "Prop_loc_RCTs_med" "Prop_loc_RCTs_up" "Prop_loc_Patients_low" "Prop_loc_Patients_med" "Prop_loc_Patients_up" "Prop_glob_RCTs_low" "Prop_glob_RCTs_med" "Prop_glob_RCTs_up" "Prop_glob_Patients_low" "Prop_glob_Patients_med" "Prop_glob_Patients_up" "Prop_NHI_RCTs_low" "Prop_NHI_RCTs_med" "Prop_NHI_RCTs_up" "Prop_NHI_Patients_low" "Prop_NHI_Patients_med" "Prop_NHI_Patients_up"
"1" "All" "All" 2220063510.80076 1548796838.65609 671266365.044935 46250530.2665929 100 100 100 100 100 100 100 100 NA NA NA NA 78661.775 82179 85358.2 38736579.2 60121077 62786199.4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "All" "Cardiovascular and circulatory diseases" 287404109.09231 267807387.790028 19596607.312309 14726543.7199449 12.9457606818034 17.2913180803241 2.91934891017476 31.8408105486781 100 100 100 100 NA NA NA NA 9526.975 10676 11943 4234636.825 4975477.5 24518980.475 11.4598092846689 12.8059765484869 14.2799368484855 6.92409493233995 8.26987401528555 39.3873995124181 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "All" "Chronic respiratory diseases" 112485355.22285 67399684.65133 45085687.018707 3572762.590618 5.06676294059161 4.35174472010244 6.71651215768706 7.72480352122283 100 100 100 100 NA NA NA NA 4302.975 4773 5283 1441357.4 1759433 2364790.175 5.17511161898152 5.76418737722197 6.3939947331518 2.37398804253581 2.91905418452374 4.85721237844931 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "All" "Cirrhosis of the liver" 30462721.1164 29883176.0549 579531.730192 990159.446125 1.37215538961821 1.9294445410174 0.0863340933450771 2.14086074347173 100 100 100 100 NA NA NA NA 534.975 1061 1574 139310.9 358781.5 785988.25 0.637016381973726 1.26878597624171 1.88018052641951 0.232104558033272 0.60782648115563 1.4372980514394 NA NA NA NA NA NA NA NA NA NA NA NA
"5" "All" "Congenital anomalies" 43254504.439 40150785.446 3103715.2332 553886.39191 1.94834536167834 2.59238555011768 0.462367160760727 1.19757846821937 100 100 100 100 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "All" "Diabetes, urinary diseases and male infertility" 75821480.094146 48042869.768465 27778586.1421424 2082326.848938 3.41528428016898 3.10194781971226 4.13823596543272 4.50227670241887 100 100 100 100 NA NA NA NA 10613.975 11700.5 12854.05 4398438.825 5852132 9441959.675 12.6862061138243 13.9703270698716 15.3316010872292 7.26118196170555 9.65315443817365 19.4389291371735 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "All" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 329285536.746641 310148264.983857 19137287.6725698 5731176.92034258 14.832257507258 20.025109636263 2.85092307154236 12.3915918094506 100 100 100 100 NA NA NA NA 2854.975 3497 4273 2441898.425 3420205 4501061.475 3.44712237836333 4.21843102808603 5.16570118831679 4.07436767684668 5.7339961321971 9.67676353182855 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "All" "Digestive diseases (except cirrhosis)" 32576108.318736 27338311.920233 5237799.5190363 1061974.15397755 1.46735028796478 1.76513221346415 0.780286305375316 2.29613400723455 100 100 100 100 NA NA NA NA 5571 6734 8754 1327401.775 1889907 4873255.97499999 6.86471519694767 8.31628554994281 10.7490912059971 2.21249018234031 3.34028970563048 8.57645080085552 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "All" "Gynecological diseases" 9710285.172 208937.629815 9501345.4852 6369.9771822 0.437387719980027 0.0134903187170951 1.41543595507932 0.0137727657293501 100 100 100 100 NA NA NA NA 2158 2730 4225.05 766975.825 1104376.5 2403993.425 2.60488120511315 3.30897443890061 5.10571121446216 1.26777691564033 1.90644646874743 4.40512737642015 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "All" "Hemoglobinopathies and hemolytic anemias" 15017573.792 5282265.4981 9735325.8895 108817.294222 0.676447935788254 0.341056061470495 1.45029252118841 0.235277938641494 100 100 100 100 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "All" "Hepatitis" 12551046.12621 12033970.78307 517070.72028 280106.506807 0.565346264426594 0.776988335895108 0.0770291418139783 0.605628746724495 100 100 100 100 NA NA NA NA 602 913 1300 211789.225 403618.5 782205.275 0.719832227521309 1.08896665725719 1.54853360044985 0.353193352068207 0.674315125790946 1.44671633164226 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "All" "HIV/AIDS" 96159861.93381 91459894.88628 4699919.4453719 1725908.5584359 4.33140139757199 5.9052222088496 0.700157149249879 3.73165139618418 100 100 100 100 NA NA NA NA 1147 1494.5 1753 735570.8 1223251 1566983.025 1.3470897470717 1.74579862021554 2.05546743187206 1.19751080640489 1.99801879248074 3.2595104489756 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "All" "Leprosy" 8539.55289646 0 8539.55289646 0 0.000384653540536768 0 0.00127215563614428 0 100 NA 100 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "All" "Malaria" 101344543.578229 97459637.59409 3884880.4051615 1458750.631342 4.56493893463772 6.29260308141234 0.578739023353486 3.15401925758171 100 100 100 100 NA NA NA NA 259.95 435 546 834820 1973478 2208019.8 0.308045495482362 0.515275098292999 0.648292683318969 1.42228957343743 3.24132338678802 5.16950215711318 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "All" "Maternal disorders" 18526977.296265 16890721.9185609 1636255.4475279 298891.951362528 0.834524652386293 1.09057053171785 0.243756507510751 0.64624545846217 100 100 100 100 NA NA NA NA 1398 2208 3488.05 615492.475 1048351.5 3770107.575 1.66903111957644 2.64337598117282 4.16585917778215 1.02437899012742 1.79738763064648 6.29830759929559 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "All" "Mental and behavioral disorders" 171914381.39523 8009303.22748 163905063.11293 214568.084556 7.74366951931126 0.517130654426553 24.4172912048048 0.463925674622987 100 100 100 100 NA NA NA NA 8683.975 9346 10040.025 2292538.925 2876536 3887151.625 10.4998738266006 11.3468425941864 12.2526743339986 3.79145148379661 4.79720971912645 8.09710996571779 NA NA NA NA NA NA NA NA NA NA NA NA
