"metr" "Region" "Disease" "burden" "cats27"
"1" "daly" "Central Europe, Eastern Europe, and Central Asia" "Cardiovascular and circulatory diseases" 53161406.515 TRUE
"2" "daly" "Central Europe, Eastern Europe, and Central Asia" "Chronic respiratory diseases" 5644608.1271 TRUE
"3" "daly" "Central Europe, Eastern Europe, and Central Asia" "Cirrhosis of the liver" 4090337.297 TRUE
"4" "daly" "Central Europe, Eastern Europe, and Central Asia" "Congenital anomalies" 2079422.787 TRUE
"5" "daly" "Central Europe, Eastern Europe, and Central Asia" "Diabetes, urinary diseases and male infertility" 5049824.6483 TRUE
"6" "daly" "Central Europe, Eastern Europe, and Central Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 7281615.92163 TRUE
"7" "daly" "Central Europe, Eastern Europe, and Central Asia" "Digestive diseases (except cirrhosis)" 2541910.009 TRUE
"8" "daly" "Central Europe, Eastern Europe, and Central Asia" "Excluded residual categories" 569414.1 FALSE
"9" "daly" "Central Europe, Eastern Europe, and Central Asia" "Gynecological diseases" 626648.327 TRUE
"10" "daly" "Central Europe, Eastern Europe, and Central Asia" "Hemoglobinopathies and hemolytic anemias" 424799.994 TRUE
"11" "daly" "Central Europe, Eastern Europe, and Central Asia" "Hepatitis" 128260.273 TRUE
"12" "daly" "Central Europe, Eastern Europe, and Central Asia" "HIV/AIDS" 2651978.6447 TRUE
"13" "daly" "Central Europe, Eastern Europe, and Central Asia" "Injuries" 25044774.0826 FALSE
"14" "daly" "Central Europe, Eastern Europe, and Central Asia" "Leprosy" 23.8790711 TRUE
"15" "daly" "Central Europe, Eastern Europe, and Central Asia" "Malaria" 3436.79369 TRUE
"16" "daly" "Central Europe, Eastern Europe, and Central Asia" "Maternal disorders" 114587.90742 TRUE
"17" "daly" "Central Europe, Eastern Europe, and Central Asia" "Mental and behavioral disorders" 15116189.858 TRUE
"18" "daly" "Central Europe, Eastern Europe, and Central Asia" "Musculoskeletal disorders" 13068426.87277 TRUE
"19" "daly" "Central Europe, Eastern Europe, and Central Asia" "Neglected tropical diseases excluding malaria" 209587.57035 TRUE
"20" "daly" "Central Europe, Eastern Europe, and Central Asia" "Neonatal disorders" 3883909.788 TRUE
"21" "daly" "Central Europe, Eastern Europe, and Central Asia" "Neoplasms" 19507980.928 TRUE
"22" "daly" "Central Europe, Eastern Europe, and Central Asia" "Neurological disorders" 4724339.958 TRUE
"23" "daly" "Central Europe, Eastern Europe, and Central Asia" "Nutritional deficiencies" 2159456.573726 TRUE
"24" "daly" "Central Europe, Eastern Europe, and Central Asia" "Oral disorders" 1366150.01 TRUE
"25" "daly" "Central Europe, Eastern Europe, and Central Asia" "Sense organ diseases" 2761841.29 TRUE
"26" "daly" "Central Europe, Eastern Europe, and Central Asia" "Sexually transmitted diseases excluding HIV" 143605.385 TRUE
