"metr" "Region" "Disease" "burden"
"1" "daly" "Central Europe, Eastern Europe, and Central Asia" "Cardiovascular and circulatory diseases" 53161406.515
"2" "daly" "Central Europe, Eastern Europe, and Central Asia" "Chronic respiratory diseases" 5644608.1271
"3" "daly" "Central Europe, Eastern Europe, and Central Asia" "Cirrhosis of the liver" 4090337.297
"4" "daly" "Central Europe, Eastern Europe, and Central Asia" "Congenital anomalies" 2079422.787
"5" "daly" "Central Europe, Eastern Europe, and Central Asia" "Diabetes, urinary diseases and male infertility" 5049824.6483
"6" "daly" "Central Europe, Eastern Europe, and Central Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 7281615.92163
"7" "daly" "Central Europe, Eastern Europe, and Central Asia" "Digestive diseases (except cirrhosis)" 2541910.009
"8" "daly" "Central Europe, Eastern Europe, and Central Asia" "Gynecological diseases" 626648.327
"9" "daly" "Central Europe, Eastern Europe, and Central Asia" "Hemoglobinopathies and hemolytic anemias" 424799.994
"10" "daly" "Central Europe, Eastern Europe, and Central Asia" "Hepatitis" 128260.273
"11" "daly" "Central Europe, Eastern Europe, and Central Asia" "HIV/AIDS" 2651978.6447
"12" "daly" "Central Europe, Eastern Europe, and Central Asia" "Leprosy" 23.8790711
"13" "daly" "Central Europe, Eastern Europe, and Central Asia" "Malaria" 3436.79369
"14" "daly" "Central Europe, Eastern Europe, and Central Asia" "Maternal disorders" 114587.90742
"15" "daly" "Central Europe, Eastern Europe, and Central Asia" "Mental and behavioral disorders" 15116189.858
"16" "daly" "Central Europe, Eastern Europe, and Central Asia" "Musculoskeletal disorders" 13068426.87277
"17" "daly" "Central Europe, Eastern Europe, and Central Asia" "Neglected tropical diseases excluding malaria" 209587.57035
"18" "daly" "Central Europe, Eastern Europe, and Central Asia" "Neonatal disorders" 3883909.788
"19" "daly" "Central Europe, Eastern Europe, and Central Asia" "Neoplasms" 19507980.928
"20" "daly" "Central Europe, Eastern Europe, and Central Asia" "Neurological disorders" 4724339.958
"21" "daly" "Central Europe, Eastern Europe, and Central Asia" "Nutritional deficiencies" 2159456.573726
"22" "daly" "Central Europe, Eastern Europe, and Central Asia" "Oral disorders" 1366150.01
"23" "daly" "Central Europe, Eastern Europe, and Central Asia" "Sense organ diseases" 2761841.29
"24" "daly" "Central Europe, Eastern Europe, and Central Asia" "Sexually transmitted diseases excluding HIV" 143605.385
"25" "daly" "Central Europe, Eastern Europe, and Central Asia" "Skin and subcutaneous diseases" 1896227.58
"26" "daly" "Central Europe, Eastern Europe, and Central Asia" "Sudden infant death syndrome" 112081.129
"27" "daly" "Central Europe, Eastern Europe, and Central Asia" "Tuberculosis" 2769215.04
"28" "daly" "High-income" "Cardiovascular and circulatory diseases" 43545778.64408
"29" "daly" "High-income" "Chronic respiratory diseases" 13641979.5885
"30" "daly" "High-income" "Cirrhosis of the liver" 3995635.7883
"31" "daly" "High-income" "Congenital anomalies" 2296894.018
"32" "daly" "High-income" "Diabetes, urinary diseases and male infertility" 12338425.328766
"33" "daly" "High-income" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 6847691.3255826
"34" "daly" "High-income" "Digestive diseases (except cirrhosis)" 3918442.2197
"35" "daly" "High-income" "Gynecological diseases" 1217526.0856
"36" "daly" "High-income" "Hemoglobinopathies and hemolytic anemias" 1612603.743
"37" "daly" "High-income" "Hepatitis" 203741.72301
"38" "daly" "High-income" "HIV/AIDS" 1213423.792
"39" "daly" "High-income" "Leprosy" 23.88100136
"40" "daly" "High-income" "Malaria" 1411.248952
"41" "daly" "High-income" "Maternal disorders" 129526.789675
"42" "daly" "High-income" "Mental and behavioral disorders" 31267536.20355
"43" "daly" "High-income" "Musculoskeletal disorders" 35571692.16788
"44" "daly" "High-income" "Neglected tropical diseases excluding malaria" 255449.1186996
"45" "daly" "High-income" "Neonatal disorders" 3811551.90397
"46" "daly" "High-income" "Neoplasms" 43298283.69423
"47" "daly" "High-income" "Neurological disorders" 12468641.0149
"48" "daly" "High-income" "Nutritional deficiencies" 1196024.917116
"49" "daly" "High-income" "Oral disorders" 2345971.817
"50" "daly" "High-income" "Sense organ diseases" 4132123.676
"51" "daly" "High-income" "Sexually transmitted diseases excluding HIV" 175744.4737
"52" "daly" "High-income" "Skin and subcutaneous diseases" 5312451.773
"53" "daly" "High-income" "Sudden infant death syndrome" 316814.359
"54" "daly" "High-income" "Tuberculosis" 435872.1561
"55" "daly" "Latin America and Caribbean" "Cardiovascular and circulatory diseases" 15012901.6301
"56" "daly" "Latin America and Caribbean" "Chronic respiratory diseases" 5500905.38569
"57" "daly" "Latin America and Caribbean" "Cirrhosis of the liver" 2376422.022
"58" "daly" "Latin America and Caribbean" "Congenital anomalies" 3617507.872
"59" "daly" "Latin America and Caribbean" "Diabetes, urinary diseases and male infertility" 6866403.96959
"60" "daly" "Latin America and Caribbean" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 10635119.856545
"61" "daly" "Latin America and Caribbean" "Digestive diseases (except cirrhosis)" 1959385.39465
"62" "daly" "Latin America and Caribbean" "Gynecological diseases" 670272.907
"63" "daly" "Latin America and Caribbean" "Hemoglobinopathies and hemolytic anemias" 885653.271
"64" "daly" "Latin America and Caribbean" "Hepatitis" 143681.4962
"65" "daly" "Latin America and Caribbean" "HIV/AIDS" 3589802.363
"66" "daly" "Latin America and Caribbean" "Leprosy" 1060.8730239
"67" "daly" "Latin America and Caribbean" "Malaria" 109804.4774365
"68" "daly" "Latin America and Caribbean" "Maternal disorders" 467646.12561
"69" "daly" "Latin America and Caribbean" "Mental and behavioral disorders" 14829920.94981
"70" "daly" "Latin America and Caribbean" "Musculoskeletal disorders" 10681796.603174
"71" "daly" "Latin America and Caribbean" "Neglected tropical diseases excluding malaria" 1609007.98820843
"72" "daly" "Latin America and Caribbean" "Neonatal disorders" 10069066.126
"73" "daly" "Latin America and Caribbean" "Neoplasms" 9697365.05098
"74" "daly" "Latin America and Caribbean" "Neurological disorders" 4513854.8373
"75" "daly" "Latin America and Caribbean" "Nutritional deficiencies" 4348378.57679833
"76" "daly" "Latin America and Caribbean" "Oral disorders" 1248381.99
"77" "daly" "Latin America and Caribbean" "Sense organ diseases" 2238808.436
"78" "daly" "Latin America and Caribbean" "Sexually transmitted diseases excluding HIV" 498469.0568
"79" "daly" "Latin America and Caribbean" "Skin and subcutaneous diseases" 2817093.322
"80" "daly" "Latin America and Caribbean" "Sudden infant death syndrome" 72350.122
"81" "daly" "Latin America and Caribbean" "Tuberculosis" 1046326.2487
"82" "daly" "North Africa and Middle East" "Cardiovascular and circulatory diseases" 19214032.7554
"83" "daly" "North Africa and Middle East" "Chronic respiratory diseases" 4781864.9938
"84" "daly" "North Africa and Middle East" "Cirrhosis of the liver" 1471644.888
"85" "daly" "North Africa and Middle East" "Congenital anomalies" 5091067.5
"86" "daly" "North Africa and Middle East" "Diabetes, urinary diseases and male infertility" 4671199.8228
"87" "daly" "North Africa and Middle East" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 10785476.172
