"Region" "Disease" "Nb_RCTs_low" "Nb_RCTs_med" "Nb_RCTs_up" "Nb_Patients_low" "Nb_Patients_med" "Nb_Patients_up" "Prop_RCTs_low" "Prop_RCTs_med" "Prop_RCTs_up" "Prop_Patients_low" "Prop_Patients_med" "Prop_Patients_up"
"1" "Central Europe, Eastern Europe, and Central Asia" "Tuberculosis" "4" "17" "28" "817.791035280509" "3727.45887445887" "8286.37821455813" "0.0670184629223417" "0.279881461969048" "0.465039030061452" "0.0541345253732852" "0.246996228187276" "0.548102268596756"
"2" "High-income" "Tuberculosis" "28" "95" "186" "4760.52142857143" "20935.8779220779" "80181.1191734" "0.0445697341004633" "0.152" "0.298837432345686" "0.0246145116753808" "0.106212756460855" "0.408072232458222"
"3" "Latin America and Caribbean" "Tuberculosis" "8" "29" "42" "2031.4689484127" "41578.255952381" "46855.1901044703" "0.185393444249661" "0.67421141343607" "0.985567832207902" "0.25044366594425" "4.89484230548107" "5.74768206602598"
"4" "North Africa and Middle East" "Tuberculosis" "4" "17" "31" "426.4375" "2930.46428571429" "4985.14201868919" "0.050657984871941" "0.214646464646465" "0.393272107025709" "0.0509666269158626" "0.351318357907269" "0.598363560953588"
"5" "South Asia" "Tuberculosis" "11" "40" "56" "3184.94642857143" "14501.0103479853" "23036.5803571428" "0.24519372262736" "0.883197173769044" "1.26012776852171" "0.171534792285204" "0.781339017910559" "1.28564993265724"
"6" "Southeast Asia, East Asia and Oceania" "Tuberculosis" "15" "53" "76" "5566.83035714286" "28046.521031746" "41850.471984127" "0.169275419396122" "0.603575902516798" "0.872978293733491" "0.17204138884611" "0.869588012581335" "1.32455313091434"
"7" "Sub-Saharian Africa" "Tuberculosis" "32" "105" "143" "26077.3766666667" "348533.348809524" "490081.25436508" "1.42492163779064" "4.58756065284517" "6.22541706134815" "0.818396709662252" "10.0117895103758" "14.5069875713714"
"8" "All" "Tuberculosis" "91" "298" "454" "66723.05" "452171" "649434" "0.106771151141624" "0.351994233541567" "0.537748843907757" "0.212385696168505" "1.4356640298352" "2.07318820327828"
"9" "Non-HI" "Tuberculosis" "66" "217" "304" "57307.0123809524" "428351.40620155" "604073.611783425" "0.233727409430704" "0.76530612244898" "1.0724506487047" "0.501651122487786" "3.63649616241897" "5.17492400006109"
"10" "Central Europe, Eastern Europe, and Central Asia" "Hepatitis" "74" "114" "145" "7715.30616512343" "12548.4220964972" "22183.6594418" "1.2136600664145" "1.86610907774073" "2.38450926540375" "0.514768325705959" "0.839246898086557" "1.48736113196973"
