"Region" "Disease" "Prop_all_RCTs_low" "Prop_all_RCTs_med" "Prop_all_RCTs_up" "Prop_all_Patients_low" "Prop_all_Patients_med" "Prop_all_Patients_up" "Prop_NHI_RCTs_low" "Prop_NHI_RCTs_med" "Prop_NHI_RCTs_up" "Prop_NHI_Patients_low" "Prop_NHI_Patients_med" "Prop_NHI_Patients_up"
"1" "Central Europe, Eastern Europe, and Central Asia" "Tuberculosis" "3.69003740785565" "5.80474934036939" "8.13568226393947" "0.0586688565808127" "0.146246923590507" "0.953885801111556" "5.08474576271187" "8.01526717557252" "11.486262637802" "0.0590392693376528" "0.147773696961608" "1.04143096553855"
"2" "High-income" "Tuberculosis" "25.2298560242485" "32.6086956521739" "43.75" "0.336494708967389" "0.872099767046211" "7.25688271653597" NA NA NA NA NA NA
"3" "Latin America and Caribbean" "Tuberculosis" "6.90279038112523" "9.6969696969697" "12.5560538116592" "0.150579073933349" "1.28018189138977" "7.01217162568154" "9.86401964418087" "13.3333333333333" "17.0268295534253" "0.152401364302237" "1.29330112511701" "7.5290188304808"
"4" "Non-HI" "Tuberculosis" "62.0564190128775" "72.9805013927577" "80.0802811870901" "92.7431172834641" "99.1279002329537" "99.6635052910327" NA NA NA NA NA NA
"5" "North Africa and Middle East" "Tuberculosis" "3.59039767997637" "5.86510263929619" "8.48484848484849" "0.0305870150014081" "0.110434902108221" "0.672088522128384" "4.84384164222874" "8.05369127516778" "12.5" "0.0307555608696088" "0.111561248665482" "0.721441277485596"
"6" "South Asia" "Tuberculosis" "9.76133765243902" "13.2315521628499" "16.4971649484536" "0.25035996641323" "0.549502341176646" "4.31949192113607" "14.1666666666667" "18.232044198895" "22.2222222222222" "0.252492059123606" "0.555320687720408" "4.66627459802023"
"7" "Southeast Asia, East Asia and Oceania" "Tuberculosis" "13.8187312794181" "17.629179331307" "21.4285714285714" "0.558836847168383" "17.5983776508436" "59.5341358234526" "19.7325904045829" "24.2774566473988" "28.9666002757775" "0.564304055881946" "17.7625721655794" "60.6934092785018"
"8" "Sub-Saharian Africa" "Tuberculosis" "26.3529705040368" "35.1437699680511" "41.76276467435" "30.5856081864038" "79.4975590567572" "97.6183422433326" "40.85302135393" "48.1099656357388" "54" "32.9087240404719" "80.2872277260819" "98.3066952551637"
"9" "Central Europe, Eastern Europe, and Central Asia" "Hepatitis" "10.3796871268211" "12.3521681997372" "14.0523317435082" "1.75881924479487" "3.12845846449297" "5.39357135719095" "24.8502231788968" "28.0172413793103" "30.8900523560209" "2.81070174539229" "5.46551212234181" "12.7923858832674"
"10" "High-income" "Hepatitis" "66.9153314310799" "68.9869553793604" "71.1968356997972" "27.6271049928472" "42.6128493877155" "65.0507616470951" NA NA NA NA NA NA
"11" "Latin America and Caribbean" "Hepatitis" "5.11421455013833" "6.11854684512428" "7.11610486891386" "2.13296474620809" "5.78698087191277" "9.97466021685519" "11.8387909319899" "13.8888888888889" "15.9664664344825" "3.50614983683818" "10.1850722532761" "22.5887841087806"
"12" "Non-HI" "Hepatitis" "40.5460765387236" "44.0717223271578" "46.941280499338" "34.9492383529048" "57.3871506122845" "72.3728950071528" NA NA NA NA NA NA
