"Region" "Disease" "Sim95_NbRCTs" "Sim95_PrRCTs"
"1" "Central.Europe..Eastern.Europe..and.Central.Asia" "Tuberculosis" 26 0.00437195224482933
"2" "Central.Europe..Eastern.Europe..and.Central.Asia" "HIV/AIDS" 86 0.014374611402841
"3" "Central.Europe..Eastern.Europe..and.Central.Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 309 0.0514308021128542
"4" "Central.Europe..Eastern.Europe..and.Central.Asia" "Malaria" 7 0.00115550659754974
"5" "Central.Europe..Eastern.Europe..and.Central.Asia" "Neglected tropical diseases excluding malaria" 27 0.00456135137423234
"6" "Central.Europe..Eastern.Europe..and.Central.Asia" "Maternal disorders" 159 0.0265146132890174
"7" "Central.Europe..Eastern.Europe..and.Central.Asia" "Neonatal disorders" 180 0.0300373721210132
"8" "Central.Europe..Eastern.Europe..and.Central.Asia" "Nutritional deficiencies" 120 0.0198845748487954
"9" "Central.Europe..Eastern.Europe..and.Central.Asia" "Sexually transmitted diseases excluding HIV" 313.099999999999 0.0524571029465753
"10" "Central.Europe..Eastern.Europe..and.Central.Asia" "Hepatitis" 140 0.0233127483130143
"11" "Central.Europe..Eastern.Europe..and.Central.Asia" "Leprosy" 14 0.00227471581286542
"12" "Central.Europe..Eastern.Europe..and.Central.Asia" "Neoplasms" 1296 0.218185510388032
"13" "Central.Europe..Eastern.Europe..and.Central.Asia" "Cardiovascular and circulatory diseases" 843 0.141116688422401
"14" "Central.Europe..Eastern.Europe..and.Central.Asia" "Chronic respiratory diseases" 612 0.102576921506752
"15" "Central.Europe..Eastern.Europe..and.Central.Asia" "Cirrhosis of the liver" 97 0.0161247426218257
"16" "Central.Europe..Eastern.Europe..and.Central.Asia" "Digestive diseases (except cirrhosis)" 528 0.0883600472907436
"17" "Central.Europe..Eastern.Europe..and.Central.Asia" "Neurological disorders" 526 0.0880831188927913
"18" "Central.Europe..Eastern.Europe..and.Central.Asia" "Mental and behavioral disorders" 435 0.0728133433533734
"19" "Central.Europe..Eastern.Europe..and.Central.Asia" "Diabetes, urinary diseases and male infertility" 999 0.167147413079689
"20" "Central.Europe..Eastern.Europe..and.Central.Asia" "Gynecological diseases" 173 0.0287971944326984
"21" "Central.Europe..Eastern.Europe..and.Central.Asia" "Hemoglobinopathies and hemolytic anemias" 13 0.00218930776067764
"22" "Central.Europe..Eastern.Europe..and.Central.Asia" "Musculoskeletal disorders" 661 0.110754978102969
"23" "Central.Europe..Eastern.Europe..and.Central.Asia" "Congenital anomalies" 33 0.0054917623564653
"24" "Central.Europe..Eastern.Europe..and.Central.Asia" "Skin and subcutaneous diseases" 416 0.069357847513231
"25" "Central.Europe..Eastern.Europe..and.Central.Asia" "Sense organ diseases" 341 0.0569610732977159
"26" "Central.Europe..Eastern.Europe..and.Central.Asia" "Oral disorders" 319.05 0.0535153766067777
"27" "Central.Europe..Eastern.Europe..and.Central.Asia" "Sudden infant death syndrome" 2 0.00033489065138275
"28" "Central.Europe..Eastern.Europe..and.Central.Asia" "All" NA NA
"29" "High.income" "Tuberculosis" 164 0.00269647580851609
"30" "High.income" "HIV/AIDS" 1137 0.0188711453973581
"31" "High.income" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 2887 0.0477082597507003
"32" "High.income" "Malaria" 132 0.00217071303291117
"33" "High.income" "Neglected tropical diseases excluding malaria" 377.05 0.00624706949364881
"34" "High.income" "Maternal disorders" 2085.1 0.0346205618667075
"35" "High.income" "Neonatal disorders" 2173 0.0354605243719213
"36" "High.income" "Nutritional deficiencies" 1312 0.0216477003622367
"37" "High.income" "Sexually transmitted diseases excluding HIV" 3740.7 0.0612231574403836
"38" "High.income" "Hepatitis" 848.05 0.013995590174018
"39" "High.income" "Leprosy" 107.55 0.00177861340637415
"40" "High.income" "Neoplasms" 9976 0.166407029051912
"41" "High.income" "Cardiovascular and circulatory diseases" 8726 0.144879036189601
"42" "High.income" "Chronic respiratory diseases" 4099.05 0.0681391329116014
"43" "High.income" "Cirrhosis of the liver" 1008 0.0166191562177876
"44" "High.income" "Digestive diseases (except cirrhosis)" 5743.1 0.0954182117029995
"45" "High.income" "Neurological disorders" 5607.05 0.0928023233776596
