"Region" "Disease" "SimMn_NbRCTs" "SimMed_NbRCTs" "Sim95low_NbRCTs" "Sim95up_NbRCTs" "SimMn_PrRCTs" "SimMed_PrRCTs" "Sim95low_PrRCTs" "Sim95up_PrRCTs"
"1" "Central Europe, Eastern Europe, and Central Asia" "Tuberculosis" 17.1117053481332 17 4 28.2749999999996 0.00278124309813186 0.00284022352083005 0.000657883973136107 0.00465706413729596
"2" "Central Europe, Eastern Europe, and Central Asia" "HIV/AIDS" 71.8948 72 53 89 0.0115278495841716 0.01156853079333 0.00853874260825812 0.0142447293301991
"3" "Central Europe, Eastern Europe, and Central Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 262.9688 262.5 213 316 0.0433981686672971 0.0433087352499216 0.0351758180251526 0.0522947834822229
"4" "Central Europe, Eastern Europe, and Central Asia" "Malaria" 1.80764229268781 1 0 8 0.000294168720834212 0.000163132137030995 0 0.00133149159965483
"5" "Central Europe, Eastern Europe, and Central Asia" "Neglected tropical diseases excluding malaria" 12.8631 11 4 34 0.00210113747207382 0.00176948444802715 0.000657351449276341 0.00550521241750955
"6" "Central Europe, Eastern Europe, and Central Asia" "Maternal disorders" 100.0176 95 50 177 0.0163627539901623 0.0155894771029555 0.00821135659214572 0.0287560729277661
"7" "Central Europe, Eastern Europe, and Central Asia" "Neonatal disorders" 88.9768884442221 77 30 218.15 0.0145691170020923 0.0125502815768303 0.00495348148550798 0.0357037310878561
"8" "Central Europe, Eastern Europe, and Central Asia" "Nutritional deficiencies" 76.973 75 37 132 0.0125763209244281 0.0121573090122973 0.00601098020291817 0.0214165950987146
"9" "Central Europe, Eastern Europe, and Central Asia" "Sexually transmitted diseases excluding HIV" 89.7938982295958 19 1 569 0.0140538554490246 0.0030441400304414 0.000158365667316481 0.0914559406790028
"10" "Central Europe, Eastern Europe, and Central Asia" "Hepatitis" 112.8638 114 75 147 0.0185127504001133 0.0186585169695995 0.0123294427091895 0.0240544269924773
"11" "Central Europe, Eastern Europe, and Central Asia" "Leprosy" 6.35911201392919 6 0 17 0.00103578068007627 0.000970952348779219 0 0.00272434388556443
"12" "Central Europe, Eastern Europe, and Central Asia" "Neoplasms" 1229.7807 1232 1139 1310 0.185457255459019 0.185808005938075 0.173173925473847 0.196128837138969
"13" "Central Europe, Eastern Europe, and Central Asia" "Cardiovascular and circulatory diseases" 766.8658 767 681 858 0.125263295193104 0.125202724618878 0.111603335645428 0.139913206750202
"14" "Central Europe, Eastern Europe, and Central Asia" "Chronic respiratory diseases" 568.9791 571 511.975 617 0.0937380997357634 0.093900548232656 0.0845706486904933 0.102288516346335
"15" "Central Europe, Eastern Europe, and Central Asia" "Cirrhosis of the liver" 67.0045013504051 67 33 101 0.0110233534839144 0.0110088728228722 0.00542736810438837 0.0165890763029818
"16" "Central Europe, Eastern Europe, and Central Asia" "Digestive diseases (except cirrhosis)" 426.5351 419 342 552 0.0719325196786045 0.070734309263329 0.0576984896903295 0.09281609892648
"17" "Central Europe, Eastern Europe, and Central Asia" "Neurological disorders" 471.3483 471 409 537 0.078466040986337 0.0783916172546441 0.0682045074692179 0.0892648096691473
"18" "Central Europe, Eastern Europe, and Central Asia" "Mental and behavioral disorders" 401.0113 400 363 444 0.0663121076575901 0.066183205822544 0.059959807461151 0.073572923208123
"19" "Central Europe, Eastern Europe, and Central Asia" "Diabetes, urinary diseases and male infertility" 926.4314 927 838 1016 0.151084303703275 0.151027483658777 0.137232649510079 0.165211803754164
"20" "Central Europe, Eastern Europe, and Central Asia" "Gynecological diseases" 107.3429 100 66 195 0.0178396394936006 0.0165947489272379 0.011012786182325 0.0323161513443042
"21" "Central Europe, Eastern Europe, and Central Asia" "Hemoglobinopathies and hemolytic anemias" 4.9765237020316 4 0 15 0.00080678902493289 0.00065242211710977 0 0.00244938007756051
"22" "Central Europe, Eastern Europe, and Central Asia" "Musculoskeletal disorders" 605.7482 607 538 670 0.0986664993828295 0.0987472357508113 0.0879944415992069 0.109154635424377
"23" "Central Europe, Eastern Europe, and Central Asia" "Congenital anomalies" 15.8034808667589 15 1 36 0.00255850011322007 0.00242463430016663 0.000160016005631918 0.0059095120309755
"24" "Central Europe, Eastern Europe, and Central Asia" "Skin and subcutaneous diseases" 341.8239 337 276 430.025 0.057137736405425 0.0564068573920721 0.0461281650004897 0.0721130797386947
"25" "Central Europe, Eastern Europe, and Central Asia" "Sense organ diseases" 299.4919 299 254 349 0.049400863865014 0.0492911840034534 0.041808923788891 0.0576271741422752
