"Region" "Disease" "SimMn_NbRCTs" "Sim95_NbRCTs" "SimMn_PrRCTs" "Sim95_PrRCTs"
"1" "Central.Europe..Eastern.Europe..and.Central.Asia" "Tuberculosis" 17.0624874017335 26 0.0027719593806738 0.00427553444180523
"2" "Central.Europe..Eastern.Europe..and.Central.Asia" "HIV/AIDS" 71.7664 86 0.0115071403519841 0.0138226486441831
"3" "Central.Europe..Eastern.Europe..and.Central.Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 263.1032 309 0.0434156388951517 0.0510549765249325
"4" "Central.Europe..Eastern.Europe..and.Central.Asia" "Malaria" 1.91976790716287 7 0.000312566119591348 0.00112790489208202
"5" "Central.Europe..Eastern.Europe..and.Central.Asia" "Neglected tropical diseases excluding malaria" 12.797 27 0.00209046678995606 0.004415137449002
"6" "Central.Europe..Eastern.Europe..and.Central.Asia" "Maternal disorders" 99.712 159 0.0163092031138912 0.0259830969181055
"7" "Central.Europe..Eastern.Europe..and.Central.Asia" "Neonatal disorders" 89.5054 180 0.0146554489945429 0.0294752944286354
"8" "Central.Europe..Eastern.Europe..and.Central.Asia" "Nutritional deficiencies" 77.1758351670334 120 0.0126136567823008 0.0194805194805195
"9" "Central.Europe..Eastern.Europe..and.Central.Asia" "Sexually transmitted diseases excluding HIV" 111.929720202688 313.099999999999 0.016972181467816 0.0504615507839353
"10" "Central.Europe..Eastern.Europe..and.Central.Asia" "Hepatitis" 112.3938 140 0.0184279368506191 0.0228833336991272
"11" "Central.Europe..Eastern.Europe..and.Central.Asia" "Leprosy" 6.23826086956522 14 0.00101679568849939 0.002205167328509
"12" "Central.Europe..Eastern.Europe..and.Central.Asia" "Neoplasms" 1229.0726 1296 0.185356714032265 0.19444071002359
"13" "Central.Europe..Eastern.Europe..and.Central.Asia" "Cardiovascular and circulatory diseases" 767.741 843 0.125407717452969 0.137164033833583
"14" "Central.Europe..Eastern.Europe..and.Central.Asia" "Chronic respiratory diseases" 569.5424 612 0.0938195352846447 0.101082023856124
"15" "Central.Europe..Eastern.Europe..and.Central.Asia" "Cirrhosis of the liver" 66.9741845107064 97 0.0110207966731303 0.0159027407906686
"16" "Central.Europe..Eastern.Europe..and.Central.Asia" "Digestive diseases (except cirrhosis)" 427.8664 528 0.072137273581244 0.0888825983997894
"17" "Central.Europe..Eastern.Europe..and.Central.Asia" "Neurological disorders" 471.5148 526 0.078534149959255 0.0877857951210395
"18" "Central.Europe..Eastern.Europe..and.Central.Asia" "Mental and behavioral disorders" 400.5696 435 0.0662618089583827 0.072219651694341
"19" "Central.Europe..Eastern.Europe..and.Central.Asia" "Diabetes, urinary diseases and male infertility" 926.5292 999 0.151081608351598 0.162349488680128
"20" "Central.Europe..Eastern.Europe..and.Central.Asia" "Gynecological diseases" 107.4152 173 0.0178444776567439 0.0285778116678148
"21" "Central.Europe..Eastern.Europe..and.Central.Asia" "Hemoglobinopathies and hemolytic anemias" 4.99848484848485 13 0.000810925510597086 0.00214316490839877
"22" "Central.Europe..Eastern.Europe..and.Central.Asia" "Musculoskeletal disorders" 606.013 661 0.0986773240410177 0.107516025958749
"23" "Central.Europe..Eastern.Europe..and.Central.Asia" "Congenital anomalies" 15.5086785466327 33 0.00251113199380879 0.00532623169107856
"24" "Central.Europe..Eastern.Europe..and.Central.Asia" "Skin and subcutaneous diseases" 342.242 416 0.0571923651636495 0.0694905095785862
"25" "Central.Europe..Eastern.Europe..and.Central.Asia" "Sense organ diseases" 300.1744 341 0.0495147251803328 0.0563501138002518
"26" "Central.Europe..Eastern.Europe..and.Central.Asia" "Oral disorders" 137.9004 319.05 0.0226076643880731 0.0522073919862915
"27" "Central.Europe..Eastern.Europe..and.Central.Asia" "Sudden infant death syndrome" 44.3735632183908 2 0.00593789128729893 0.000334911613653261
"28" "Central.Europe..Eastern.Europe..and.Central.Asia" "All" 6002.1122 6180 NA NA
"29" "High.income" "Tuberculosis" 97.5988711953235 164 0.00156571212519762 0.00262910498892589
"30" "High.income" "HIV/AIDS" 985.7186 1137 0.0156426148822044 0.0181139444102711
"31" "High.income" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 2437.7294 2887 0.0398914500447491 0.0473026161376001
"32" "High.income" "Malaria" 80.1646658663465 132 0.00128884249921019 0.00212092551427422
"33" "High.income" "Neglected tropical diseases excluding malaria" 218.1614 377.05 0.00352041819821892 0.00614660934109893
"34" "High.income" "Maternal disorders" 1419.9492 2085.1 0.0230147887583311 0.033872168248828
"35" "High.income" "Neonatal disorders" 1102.5434 2173 0.0178207887428086 0.0347102932742882
"36" "High.income" "Nutritional deficiencies" 855.099619923985 1312 0.0138195047542917 0.0211930060548601
"37" "High.income" "Sexually transmitted diseases excluding HIV" 1359.24719101124 3740.7 0.0196186141452978 0.0585876283907916
"38" "High.income" "Hepatitis" 633.5358 848.05 0.0102534245027655 0.0136789687852765
"39" "High.income" "Leprosy" 45.1440579710145 107.55 0.000726348841779577 0.00172676539953407
"40" "High.income" "Neoplasms" 9478.572 9976 0.140597719464629 0.147495278390207
"41" "High.income" "Cardiovascular and circulatory diseases" 7968.5248 8726 0.129640052581673 0.141614635672215
"42" "High.income" "Chronic respiratory diseases" 3782.237 4099.05 0.0619067339312335 0.0673563656599081
"43" "High.income" "Cirrhosis of the liver" 704.116670002001 1008 0.0114434263393845 0.0164445912137592
"44" "High.income" "Digestive diseases (except cirrhosis)" 4635.8792 5743.1 0.0775710852919175 0.0958302717403196
"45" "High.income" "Neurological disorders" 5037.1772 5607.05 0.0832049072010965 0.092711873676391
"46" "High.income" "Mental and behavioral disorders" 7348.6682 7778.05 0.121061440674406 0.128621218769388
"47" "High.income" "Diabetes, urinary diseases and male infertility" 8757.2636 9440.05 0.141921972262833 0.15283950199223
"48" "High.income" "Gynecological diseases" 1626.026 2348.05 0.0267044002263997 0.038404203959507
"49" "High.income" "Hemoglobinopathies and hemolytic anemias" 93.0654545454545 208.05 0.00149122950027039 0.00333649686170684
