"","Region","Disease","RCT","SimMn_NbRCTs","Sim95_NbRCTs","Pr_RCT","SimMn_PrRCTs","Sim95_PrRCTs","Pr_GBD","Robust"
"1","Central Europe, Eastern Europe, and Central Asia","Cardiovascular and circulatory diseases",789,768.7,843,11.27,12.56,13.77,35.09,TRUE
"3","Central Europe, Eastern Europe, and Central Asia","Tuberculosis",21,17.2,27,0.3,0.28,0.44,1.83,TRUE
"5","Latin America and Caribbean","Congenital anomalies",55,12.7,27,1.15,0.3,0.62,3.13,TRUE
"6","Latin America and Caribbean","Neonatal disorders",41,75.4,149,0.86,1.77,3.47,8.72,TRUE
"8","North Africa and Middle East","Congenital anomalies",147,32.3,66,1.69,0.4,0.82,4.98,TRUE
"9","North Africa and Middle East","Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",253,262.2,319,2.91,3.33,4.06,10.55,TRUE
"10","North Africa and Middle East","Neonatal disorders",181,213.1,366,2.08,2.68,4.56,10.06,TRUE
"12","South Asia","Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",357,308.8,353,7.36,7.04,8.06,21.43,TRUE
"13","South Asia","Neonatal disorders",86,109.2,195,1.77,2.46,4.35,16.52,TRUE
"14","South Asia","Tuberculosis",54,38.3,54,1.11,0.86,1.22,3.87,TRUE
"17","Southeast Asia, East Asia and Oceania","Tuberculosis",70,51.3,73,0.73,0.59,0.84,2.84,TRUE
"18","Sub-Saharian Africa","Congenital anomalies",16,4.2,10,0.62,0.18,0.43,1.33,TRUE
"19","Sub-Saharian Africa","Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases",150,130.7,152,5.8,5.8,6.74,22.93,TRUE
"20","Sub-Saharian Africa","Neonatal disorders",40,50.5,90,1.55,2.22,3.91,11.58,TRUE
"2","Central Europe, Eastern Europe, and Central Asia","Neonatal disorders",38,90.6,187,0.54,1.48,3.06,2.56,FALSE
"4","High-income","Neonatal disorders",553,1113.3,2229.9,0.82,1.8,3.59,1.65,FALSE
"7","Latin America and Caribbean","Nutritional deficiencies",78,65.9,99,1.64,1.55,2.31,3.76,FALSE
"11","North Africa and Middle East","Nutritional deficiencies",134,119.1,180,1.54,1.5,2.26,4.12,FALSE
"15","Southeast Asia, East Asia and Oceania","Neglected tropical diseases excluding malaria",65,72.2,95.1499999999996,0.67,0.83,1.1,1.55,FALSE
"16","Southeast Asia, East Asia and Oceania","Neonatal disorders",47,132.3,279.299999999999,0.49,1.53,3.2,6.06,FALSE
"21","Sub-Saharian Africa","Sexually transmitted diseases excluding HIV",9,40.8,131,0.35,1.71,5.67,1.27,FALSE
